When I understood that I was admitted to the University.|4.0|-4.143372535705566|-4.099310874938965|-4.180825233459473|-3.8739051818847656|3.2707087993621826|-3.8830251693725586|-3.9761900901794434|0.0|0.0|0.0|0.0|1.0|0.0|0.0
I broke a window of a neighbouring house and I feared my mother's judgement and action on what I had done.|1.0|-4.4544878005981445|2.634033679962158|-3.9704809188842773|-3.6007766723632812|-4.260799884796143|-3.5086143016815186|-4.351668834686279|0.0|1.0|0.0|0.0|0.0|0.0|0.0
Got a big fish in fishing.|4.0|-3.8718435764312744|-4.2379865646362305|-4.067471981048584|-3.916489601135254|3.4431629180908203|-4.0228190422058105|-3.7431790828704834|0.0|0.0|0.0|0.0|1.0|0.0|0.0
Whenever I am alone in a dark room, walk alone on the street, sleep alone in the room at night or see something which is only partly visible.  This emotion was very strong when as an 8 year   old child I saw something horrible.  |1.0|-4.045258045196533|3.200204372406006|-3.8719375133514404|-3.878466844558716|-4.119332313537598|-3.877209186553955|-3.389094829559326|0.0|1.0|0.0|0.0|0.0|0.0|0.0
I bought a possible answer to a homework problem which was completely inapplicable to the question due to my not having read about the subject matter.|5.0|-4.6481781005859375|-4.786386966705322|-1.271108627319336|-2.308218002319336|-4.468682289123535|0.19515809416770935|-2.507852792739868|0.0|0.0|0.0|0.0|0.0|1.0|0.0
I read about a murderer who brutalized his victims by cutting open their stomaches and taking out their bowels.|6.0|-3.6106419563293457|-3.7316064834594727|-3.1901299953460693|-3.4961163997650146|-3.9495291709899902|-3.729382276535034|2.6323156356811523|0.0|0.0|0.0|0.0|0.0|0.0|1.0
The day that my boyfriend appeared at home with a pair of rings for our wedding.|4.0|-4.30755615234375|-4.282976150512695|-3.917820453643799|-3.779898166656494|3.3741042613983154|-3.6789019107818604|-3.84749698638916|0.0|0.0|0.0|0.0|1.0|0.0|0.0
I went to a pub with a group of friends (not very close) and I was with one girl most of the time, while the other girls in the group wanted to be with me.  They stopped talking to the girl I was with.|3.0|-3.9562761783599854|-5.7114434242248535|-0.008224338293075562|-2.9033961296081543|-5.0732526779174805|-1.8826886415481567|-0.9647641181945801|0.0|0.0|0.0|1.0|0.0|0.0|0.0
Had an insulting letter from my father.|2.0|-3.9783248901367188|-5.387884616851807|0.8547824025154114|-3.1318883895874023|-4.585532188415527|-2.388852834701538|-2.19520902633667|0.0|0.0|1.0|0.0|0.0|0.0|0.0
[ No response.]|0.0|-1.9027843475341797|-2.5478901863098145|-1.5517652034759521|-1.292278528213501|-3.734522819519043|-0.7282176613807678|-1.2895166873931885|1.0|0.0|0.0|0.0|0.0|0.0|0.0
